Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Mouse|Macrophage	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Macrophage	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|DC	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|pDC	0.92	Reciprocal_top_hit	0.96	mh	Mouse	Human
Mouse|pDC	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|pDC	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Basophil	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|pDC	NS	NS	0	mh	Mouse	Human
