Barcode	tSNE1	tSNE2	tSNE3	celltype
bcABES:WT_3	9.84985621308955	30.812226261153	-12.0729387216386	Erythroid
bcFDHU:WT_3	25.7634866206382	16.3673060765015	-7.49507383789513	Erythroid
bcAAWU:WT_3	14.0451405179377	-8.98380725233377	-16.525369663336	Neutrophil
bcCZYA:WT_3	0.988392859528934	7.53668964066948	-6.98122280080163	NK/T cell
bcFMIQ:WT_3	27.4020174468795	19.1092050207574	-8.01364210947891	Erythroid
bcFXNF:WT_3	26.7075992942089	8.05862726844712	-3.9814825500459	Erythroid
bcBYCV:WT_3	25.9158434117732	-6.64721758318367	1.12850954178518	Macrophage
bcFRYS:WT_3	24.0348637003739	14.611714492895	-6.93008648006717	Erythroid
bcACXT:WT_3	29.054469364483	20.3131825423736	-8.30204653540641	Erythroid
bcCXKQ:WT_3	11.7211689820858	2.89353849793954	-2.76572030526491	NK/T cell
bcGSCV:WT_3	13.405981390893	-9.91751647367579	-16.4149602741789	Neutrophil
bcBCRM:WT_3	15.0191646839288	-9.11101630253925	-16.0772852519029	Neutrophil
bcAOTN:WT_3	26.3445891353698	-6.06804039864693	2.1153496326725	Macrophage
bcGHZI:WT_3	26.4029394041714	-5.22028263504265	1.78171244881068	Macrophage
bcETIC:WT_3	26.9962802042437	18.4027730426913	-7.1722919216701	Erythroid
bcAOTP:WT_3	26.6441808761002	-4.52884994507779	2.34039156542553	Macrophage
bcHYZT:WT_3	-13.5471206871835	7.67639597631792	19.0188801044209	Macrophage
bcCDZT:WT_3	25.9412453288583	-5.51349171341064	2.62904989530643	Macrophage
bcIEVA:WT_3	0.365752168524749	7.80732798230379	-7.187836764123	NK/T cell
bcDOGU:WT_3	-13.5917884559387	7.56861741760702	18.8628623603672	Macrophage
bcFBET:WT_3	23.9920204274152	15.1837224336908	-7.35065732282657	Erythroid
bcHFTQ:WT_3	10.6725977208345	30.4016198465748	-10.2797317713374	Erythroid
bcDHCC:WT_3	26.5547708214705	-6.57034249618786	1.59502140247901	Macrophage
bcHDMH:WT_3	27.7529899924	21.0670256024155	-8.12592933827342	Erythroid
bcGHTO:WT_3	22.5945585387894	15.2277380136103	-7.24251767080635	Erythroid
bcBCJG:WT_3	25.3307694236223	-5.64916135858113	3.01226907244096	Macrophage
bcARKJ:WT_3	13.766605646244	-8.35118373047395	-18.5721847403422	Neutrophil
bcEELM:WT_3	14.9623623608639	-8.75823583833497	-9.851212778877	Neutrophil
bcFXOG:WT_3	12.8833305527925	28.8162922333277	-10.8345490644008	Erythroid
bcCPVO:WT_3	24.4287837199583	16.9709989407867	-7.05409585962611	Erythroid
bcBBSC:WT_3	22.9392870620724	16.9414556194647	-7.48243268493515	Erythroid
bcBCIR:WT_3	14.6526262446082	-8.9697852768897	-13.734672753224	Neutrophil
bcBXLE:WT_3	22.5426423056803	17.8474218837303	-7.57481747109587	Erythroid
bcBZYK:WT_3	14.2452566203879	-8.14533471466788	-17.0151799701439	Neutrophil
bcCQQI:WT_3	14.9767896640122	-8.95894883343268	-12.3988633401088	Neutrophil
bcBSKB:WT_3	11.9238266141598	3.2865752806844	-2.6098000023807	NK/T cell
bcCOXE:WT_3	14.3893507998927	-7.77061904546088	-19.511069202829	Neutrophil
bcBMAT:WT_3	14.1197633445848	-6.41866014459213	-23.7773927788738	Neutrophil
bcBPKG:WT_3	26.2414550911659	11.7853912798278	-4.77746323781268	Erythroid
bcFBCB:WT_3	23.5971890581731	15.1570040723827	-6.97478142088765	Erythroid
bcFATR:WT_3	26.3013796749942	-6.23601893139265	1.67241730183801	Macrophage
bcHUUL:WT_3	10.8636047182083	3.69635452607372	-3.64513598443715	NK/T cell
bcCCYG:WT_3	11.30504913038	3.45860913651375	-2.82573761472724	NK/T cell
bcCGDU:WT_3	12.1519996501535	29.1191941080116	-10.4316788927738	Erythroid
bcDVCY:WT_3	28.4348192266767	21.1393369639382	-8.11642227674511	Erythroid
bcCYQS:WT_3	8.49676073446494	5.68241221057704	-2.18110603626477	NK/T cell
bcHPZB:WT_3	14.8959601526062	-9.57761291423563	-16.4644728121312	Neutrophil
bcIAEZ:WT_3	12.9312187064674	28.980165314623	-8.68185015927581	Erythroid
bcCWHI:WT_3	13.1842554995936	29.29316117982	-9.74777266403458	Erythroid
bcAQLP:WT_3	13.78316113537	-9.82616096231471	-16.6269154309369	Neutrophil
bcCWGZ:WT_3	3.80686333987621	-5.22129887905674	-2.3643320055313	HSCs
bcCHGK:WT_3	13.8329867027525	-8.02276160362954	-17.3287253184684	Neutrophil
bcIEVY:WT_3	13.2362819846094	-6.79400748040561	-20.8715759132839	Neutrophil
bcGYRK:WT_3	26.547491115869	-5.26060540708531	1.41129617298866	Macrophage
bcEPTX:WT_3	11.6899441571402	29.6124181404075	-9.88929945351836	Erythroid
bcEEEK:WT_3	26.7168253138693	-7.21025934023992	1.51814094839213	Macrophage
bcAXUT:WT_3	1.77554879662125	7.31042114390039	-6.68346604182693	NK/T cell
bcHZBB:WT_3	13.2655673516098	-3.23643912371283	17.9078180288734	HSCs
bcCFAS:WT_3	-14.1595083036805	7.3491338961642	19.3973953484454	Macrophage
bcATNE:WT_3	-2.00137381819953	9.29543040578282	-9.09323800170991	B cell
bcCVLV:WT_3	27.8019992782831	21.4608508769674	-8.06583515033852	Erythroid
bcBHBV:WT_3	11.2901749308254	3.41272391171433	-2.68013760229873	NK/T cell
bcAQBJ:WT_3	13.1757081430499	-7.71970519803057	-19.4253819019798	Neutrophil
bcDBBP:WT_3	14.9581525273746	-7.88643453868439	-16.5035034583331	Neutrophil
bcBNMY:WT_3	15.1640981126366	-10.2197959790231	-16.8028520123072	Neutrophil
bcAKWG:WT_3	25.4481963438679	-5.00943991152731	3.30827585419831	Macrophage
bcAARJ:WT_3	25.0662601285788	-5.00111084290645	3.5570892450935	Macrophage
bcECBE:WT_3	12.5473012312274	-20.7952271963461	-4.21794678306327	Neutrophil
bcBMRU:WT_3	26.4369883719281	17.5853104196729	-7.10092698867881	Erythroid
bcBQLZ:WT_3	7.10466649948389	32.2426780438643	-12.3931810627926	Erythroid
bcDJFF:WT_3	9.27365284120159	31.2125286421694	-12.2909893017899	Erythroid
bcCXAY:WT_3	27.1485324275181	-5.99547872269702	2.36444776827126	Macrophage
bcCPZZ:WT_3	13.3044015732212	-8.85467851440454	-19.6823636892318	Neutrophil
bcBJHI:WT_3	7.76308573176925	-0.102284774584622	-1.7974223552503	B cell
bcAAGW:WT_3	26.9687036342399	-6.37560324606408	0.703893681227847	Macrophage
bcGWLF:WT_3	11.1449437863388	30.0755865413728	-9.89431738180948	Erythroid
bcBNTP:WT_3	26.0988036193518	-5.67396231963393	1.66735509731617	Macrophage
bcAQOD:WT_3	13.187275934573	29.3649442226057	-9.03305434262423	Erythroid
bcIDMR:WT_3	9.85524824676906	30.7360444042163	-10.3812102917909	Erythroid
bcCZWS:WT_3	16.1472858816834	-9.77553795780561	-14.2537094602919	Neutrophil
bcFTHI:WT_3	10.742496751663	30.1309193310622	-10.6061924638894	Erythroid
bcAGVZ:WT_3	13.9531470380406	-7.58727617981697	-18.9521745126508	Neutrophil
bcFSYV:WT_3	14.61369521216	-8.42921358872884	-19.4534515803405	Neutrophil
bcCMBV:WT_3	15.2274003097965	-9.350641818378	-16.4808932367309	Neutrophil
bcCQOU:WT_3	27.2291979454017	19.4038438193285	-8.16726972441771	Erythroid
bcDKCK:WT_3	11.7911551101954	-20.7267511179029	-4.05608668016726	Neutrophil
bcHHBD:WT_3	21.895485941004	17.5331502779617	-7.66410086073939	Erythroid
bcIIJU:WT_3	12.3916672633643	29.9839710696355	-10.3307572281016	Erythroid
bcBXRI:WT_3	21.616672144417	21.6464785747188	-7.83856607984768	Erythroid
bcEQLF:WT_3	12.1457654200525	2.13429454685935	-1.39769387516335	NK/T cell
